date,home_team,away_team,home_shots_target,away_shots_target,season,target,home_goals_avg,home_goals_conceded_avg,home_form,home_days_rest,away_goals_avg,away_goals_conceded_avg,away_form,away_days_rest,home_rang,away_rang,h2h_home_win_rate,h2h_draw_rate,h2h_n_matches,home_rank_norm,away_rank_norm,classement_diff,goals_diff,defense_diff,form_diff,fatigue_diff,home_attack_vs_away_def,away_attack_vs_home_def,y_true,y_pred,correct,prob_dom,prob_nul,prob_ext,confidence,error
2023-12-03,Brest,Clermont,7.0,1.0,2324,2,1.0385246269198467,1.20804198147656,12.0,7.0,0.6516163657551297,1.0913951611077324,10.0,4.0,10,11,0.75,0.25,4,0.4736842105263157,0.5263157894736842,0.0526315789473684,0.386908261164717,-0.1166468203688275,2.0,-3.0,0.9515569281668578,0.5393987756606563,2,2,True,0.7593329,0.21949558,0.02117152,0.7593329,False
2023-12-03,Le Havre,Paris SG,7.0,5.0,2324,0,0.5740413794338455,0.6329667485032995,14.0,7.0,3.129110907848515,0.8793371003839237,25.0,9.0,12,1,0.45,0.26,0,0.5789473684210527,0.0,-0.5789473684210527,-2.5550695284146694,0.2463703518806241,-11.0,2.0,0.6528115090142514,4.943562857365806,0,1,False,0.2715811,0.56127524,0.16714361,0.56127524,True
2023-12-03,Monaco,Montpellier,9.0,4.0,2324,2,1.584653345205501,1.5517225196033313,17.0,9.0,0.9708810224201516,1.276840108022348,10.0,4.0,2,6,0.5,0.25,16,0.0526315789473684,0.2631578947368421,0.2105263157894736,0.6137723227853492,-0.2748824115809833,7.0,-5.0,1.2410742231929994,0.6256795336503457,2,2,True,0.78705835,0.164586,0.048355628,0.78705835,False
2023-12-06,Marseille,Lyon,5.0,1.0,2324,2,0.939900176180242,0.961281105136652,10.0,3.0,0.9755535330314498,1.7968898277828986,6.0,4.0,2,1,0.2,0.3333333333333333,15,0.0526315789473684,0.0,-0.0526315789473684,-0.0356533568512078,0.8356087226462466,4.0,1.0,0.5230705642871507,1.014847298899908,2,2,True,0.8406037,0.12729639,0.032099903,0.8406037,False
2023-12-07,Brest,Strasbourg,3.0,5.0,2324,1,1.3952741440641507,0.9801697967713782,15.0,4.0,0.6999186885046333,1.3734377838457303,7.0,6.0,2,1,0.2857142857142857,0.2857142857142857,7,0.0526315789473684,0.0,-0.0526315789473684,0.6953554555595174,0.3932679870743522,8.0,2.0,1.0158990530734322,0.7140790206045161,1,0,False,0.21929583,0.36441118,0.416293,0.416293,True
2023-12-08,Montpellier,Lens,4.0,5.0,2324,1,0.8737929201781365,1.402690090498876,10.0,5.0,1.68965269961118,0.5142358099606338,21.0,6.0,1,2,0.3333333333333333,0.1666666666666666,6,0.0,0.0526315789473684,0.0526315789473684,-0.8158597794330436,-0.8884542805382422,-11.0,1.0,1.6992066737729288,1.2045801927710518,1,0,False,0.14948365,0.4046033,0.44591308,0.44591308,True
2023-12-09,Rennes,Monaco,5.0,5.0,2324,0,1.0267989100540136,1.5126999449415892,9.0,6.0,1.5726540174061878,1.3965502676429982,17.0,6.0,3,2,0.2,0.3333333333333333,15,0.1052631578947368,0.0526315789473684,-0.0526315789473684,-0.5458551073521742,-0.116149677298591,-8.0,0.0,0.7352394925153496,1.0396338167824246,0,1,False,0.19562946,0.48926038,0.31511015,0.48926038,True
2023-12-09,Paris SG,Nantes,6.0,4.0,2324,2,2.9091318305061376,0.7378693970667682,25.0,6.0,1.085779417479406,1.3881213039206195,16.0,7.0,1,4,0.8125,0.0,16,0.0,0.1578947368421052,0.1578947368421052,1.823352413026732,0.6502519068538515,9.0,1.0,2.095733148313166,1.4715062337531206,2,2,True,0.66360646,0.2645959,0.07179769,0.66360646,False
2023-12-10,Lyon,Toulouse,7.0,6.0,2324,2,0.8244641864495418,1.863666851725846,6.0,4.0,0.8484732043644422,1.2465678890234446,8.0,7.0,1,7,0.8333333333333334,0.1666666666666666,12,0.0,0.3157894736842105,0.3157894736842105,-0.0240090179149004,-0.6170989627024013,-2.0,3.0,0.6613873128846782,0.4552708567943432,2,2,True,0.45893708,0.25834438,0.28271854,0.45893708,False
2023-12-10,Strasbourg,Le Havre,3.0,3.0,2324,2,0.783460812932933,1.2825600121823943,8.0,3.0,0.3560352616541721,0.8767380602104954,11.0,7.0,6,12,0.45,0.26,0,0.2631578947368421,0.5789473684210527,0.3157894736842105,0.4274255512787608,-0.4058219519718989,-3.0,4.0,0.8936087623991509,0.2775973508236432,2,2,True,0.50616145,0.35489982,0.13893872,0.50616145,False
